Sample	int48	int3	int88	int37	int8	int42	int22	int73	int98	int25	int28	int34	int6	int85	int76	int95	int92	int20	int51	int33	int79	int41	int83	int93	int71	int13	int99	int23	int75	int86	int68	int17	int84	int30	int65	int57	int67	int54	int9	int7	int27	int39	int82	int38	int58	int100	int12	int47	int53	int10	int72	int97	int74	int49	int64	int5	int78	int36	int81	int11	int24	int21	int55	int62	int56	int46	int29	int1	int94	int50	int90	int63	int66	int35	int15	int31	int26	int4	int14	int40	int77	int89	int43	int91	int52	int69	int19	int87	int44	int61	int2	int70	int18	int60	int45	int32	int16	int80	int59	int96	discrete48	discrete3	discrete88	discrete37	discrete8	discrete42	discrete22	discrete73	discrete98	discrete25	discrete28	discrete34	discrete6	discrete85	discrete76	discrete95	discrete92	discrete20	discrete51	discrete33	discrete79	discrete41	discrete83	discrete93	discrete71	discrete13	discrete99	discrete23	discrete75	discrete86	discrete68	discrete17	discrete84	discrete30	discrete65	discrete57	discrete67	discrete54	discrete9	discrete7	discrete27	discrete39	discrete82	discrete38	discrete58	discrete100	discrete12	discrete47	discrete53	discrete10	discrete72	discrete97	discrete74	discrete49	discrete64	discrete5	discrete78	discrete36	discrete81	discrete11	discrete24	discrete21	discrete55	discrete62	discrete56	discrete46	discrete29	discrete1	discrete94	discrete50	discrete90	discrete63	discrete66	discrete35	discrete15	discrete31	discrete26	discrete4	discrete14	discrete40	discrete77	discrete89	discrete43	discrete91	discrete52	discrete69	discrete19	discrete87	discrete44	discrete61	discrete2	discrete70	discrete18	discrete60	discrete45	discrete32	discrete16	discrete80	discrete59	discrete96
s11	90	9	45	61	52	15	70	98	1	46	29	44	46	14	95	98	21	99	12	52	30	78	34	78	75	49	40	39	7	75	93	54	75	4	70	18	33	77	85	29	89	13	79	5	2	73	80	78	63	32	5	7	21	9	8	88	88	94	70	93	98	66	36	4	86	38	5	71	1	53	77	23	92	93	26	8	32	41	63	60	29	26	32	20	39	20	79	98	2	8	68	3	86	54	22	11	78	51	84	100	cold	cold	hot	hot	lukewarm	lukewarm	warm	hot	cold	warm	cold	lukewarm	hot	warm	warm	warm	warm	hot	lukewarm	lukewarm	cold	warm	hot	warm	hot	hot	lukewarm	warm	cold	warm	warm	warm	lukewarm	hot	hot	hot	warm	hot	warm	lukewarm	cold	lukewarm	cold	hot	warm	lukewarm	hot	cold	lukewarm	lukewarm	hot	cold	warm	warm	cold	cold	cold	cold	hot	lukewarm	lukewarm	hot	cold	cold	warm	hot	hot	hot	hot	cold	lukewarm	hot	warm	lukewarm	cold	warm	lukewarm	lukewarm	hot	cold	cold	warm	lukewarm	hot	cold	lukewarm	cold	cold	hot	cold	cold	hot	lukewarm	warm	cold	warm	lukewarm	lukewarm	lukewarm	hot
s12	2	89	41	39	96	12	56	20	66	70	62	15	76	80	47	8	89	80	34	37	99	58	58	80	47	65	57	55	30	96	92	92	33	34	50	40	26	1	50	77	69	11	8	29	91	36	70	66	70	65	46	76	85	36	53	31	94	18	27	46	50	25	41	64	32	34	5	46	79	41	23	98	73	2	32	15	44	2	54	17	58	60	95	45	74	32	25	17	9	50	28	48	92	33	79	32	49	52	99	73	hot	hot	warm	cold	warm	lukewarm	lukewarm	cold	lukewarm	hot	warm	lukewarm	lukewarm	hot	lukewarm	cold	hot	warm	lukewarm	warm	warm	lukewarm	lukewarm	cold	lukewarm	hot	hot	hot	hot	warm	lukewarm	lukewarm	lukewarm	cold	lukewarm	hot	warm	hot	hot	lukewarm	cold	lukewarm	hot	lukewarm	warm	cold	hot	warm	warm	hot	cold	hot	hot	cold	warm	warm	lukewarm	cold	lukewarm	hot	lukewarm	lukewarm	hot	lukewarm	cold	cold	warm	cold	hot	warm	cold	warm	lukewarm	cold	hot	warm	hot	warm	warm	cold	cold	lukewarm	warm	hot	warm	cold	warm	hot	cold	hot	cold	cold	hot	lukewarm	hot	hot	hot	lukewarm	lukewarm	cold
s13	39	8	93	29	61	93	32	89	57	51	64	95	44	92	63	56	50	8	23	0	57	34	5	47	67	68	9	98	37	53	28	0	5	69	94	91	23	54	10	10	11	20	71	94	65	68	3	56	8	26	74	73	29	16	37	98	89	83	5	22	96	29	81	60	22	4	54	15	81	43	25	80	11	51	76	74	68	34	56	72	40	47	36	90	57	63	47	34	90	11	47	20	79	63	58	31	56	95	3	52	cold	cold	cold	hot	warm	hot	warm	hot	hot	cold	cold	hot	lukewarm	lukewarm	cold	hot	cold	cold	cold	lukewarm	lukewarm	warm	warm	cold	cold	cold	hot	cold	hot	hot	warm	cold	lukewarm	lukewarm	lukewarm	cold	lukewarm	lukewarm	warm	warm	cold	hot	hot	hot	warm	lukewarm	cold	lukewarm	hot	warm	cold	lukewarm	warm	warm	hot	lukewarm	lukewarm	hot	warm	warm	lukewarm	lukewarm	cold	hot	warm	cold	warm	warm	lukewarm	hot	hot	warm	lukewarm	warm	lukewarm	cold	hot	hot	hot	cold	lukewarm	warm	warm	hot	lukewarm	lukewarm	cold	hot	warm	cold	lukewarm	cold	lukewarm	lukewarm	cold	warm	hot	lukewarm	lukewarm	hot
s14	73	37	8	21	99	12	64	61	98	81	94	92	23	54	18	67	29	56	50	42	91	100	97	25	44	51	42	40	8	39	43	3	31	40	59	91	74	87	3	94	26	39	77	7	82	43	25	1	93	9	41	65	47	74	10	6	31	62	88	18	59	88	77	34	34	14	27	86	99	86	3	68	81	15	72	22	59	4	49	66	91	19	61	11	50	4	19	27	96	28	57	22	70	94	39	14	48	27	44	14	lukewarm	warm	lukewarm	warm	lukewarm	warm	cold	cold	warm	cold	hot	cold	hot	cold	lukewarm	lukewarm	lukewarm	warm	cold	warm	lukewarm	lukewarm	hot	hot	hot	hot	hot	hot	cold	warm	lukewarm	lukewarm	cold	warm	hot	warm	warm	warm	cold	cold	warm	cold	hot	lukewarm	hot	lukewarm	cold	hot	cold	hot	hot	cold	hot	warm	lukewarm	hot	hot	hot	warm	cold	lukewarm	hot	hot	lukewarm	cold	hot	hot	hot	cold	hot	cold	cold	warm	warm	lukewarm	hot	lukewarm	cold	lukewarm	warm	hot	lukewarm	hot	hot	lukewarm	lukewarm	cold	hot	warm	lukewarm	cold	cold	lukewarm	lukewarm	lukewarm	hot	hot	cold	lukewarm	hot
s15	79	71	65	93	23	33	64	93	60	21	84	47	51	47	36	21	54	61	59	51	15	17	21	52	51	80	50	7	99	36	48	97	100	80	80	90	79	53	93	1	46	15	30	85	32	20	91	92	93	22	90	36	60	88	42	82	85	7	75	81	93	87	42	90	7	65	60	1	52	43	44	69	76	7	54	51	75	41	15	67	57	50	41	73	61	39	47	56	48	68	34	88	60	35	20	70	10	9	33	68	hot	cold	lukewarm	warm	lukewarm	lukewarm	warm	cold	cold	lukewarm	warm	hot	hot	hot	hot	lukewarm	lukewarm	cold	warm	warm	cold	lukewarm	warm	cold	warm	cold	cold	lukewarm	hot	lukewarm	lukewarm	cold	hot	hot	cold	cold	warm	warm	lukewarm	cold	hot	cold	hot	lukewarm	lukewarm	lukewarm	lukewarm	warm	cold	warm	lukewarm	warm	cold	hot	lukewarm	warm	cold	lukewarm	hot	hot	lukewarm	lukewarm	lukewarm	warm	cold	hot	warm	lukewarm	lukewarm	warm	warm	warm	lukewarm	hot	hot	cold	warm	cold	lukewarm	lukewarm	cold	lukewarm	hot	hot	warm	cold	lukewarm	hot	hot	warm	hot	cold	hot	lukewarm	warm	cold	lukewarm	lukewarm	warm	cold
s16	97	79	32	13	20	22	93	21	76	93	52	49	23	55	70	36	59	54	70	21	23	73	82	54	73	12	78	17	60	45	79	7	37	86	10	68	35	48	78	25	20	19	58	75	95	39	4	33	97	78	86	63	45	58	10	42	23	41	7	64	63	42	82	82	14	91	2	50	70	100	57	47	17	26	3	82	97	0	81	60	29	88	91	11	48	76	22	93	84	91	72	52	51	65	89	14	6	16	14	5	cold	hot	cold	cold	cold	warm	lukewarm	warm	cold	cold	cold	cold	warm	lukewarm	hot	lukewarm	cold	hot	warm	warm	warm	hot	lukewarm	cold	hot	lukewarm	cold	cold	warm	warm	cold	lukewarm	lukewarm	cold	cold	warm	hot	lukewarm	warm	warm	hot	lukewarm	warm	lukewarm	lukewarm	cold	hot	lukewarm	hot	lukewarm	cold	cold	warm	hot	cold	hot	warm	hot	cold	cold	hot	warm	lukewarm	lukewarm	hot	hot	lukewarm	hot	lukewarm	warm	hot	cold	cold	hot	warm	lukewarm	warm	cold	hot	warm	hot	cold	lukewarm	cold	lukewarm	hot	hot	cold	cold	lukewarm	lukewarm	lukewarm	warm	lukewarm	warm	lukewarm	warm	lukewarm	lukewarm	hot
s17	81	71	83	81	22	35	20	93	19	28	26	6	63	36	53	1	30	84	89	64	77	22	69	35	4	16	8	71	81	61	31	20	83	4	59	27	43	86	77	91	42	95	9	73	49	23	39	59	90	43	30	61	37	66	36	50	2	94	96	38	53	75	5	25	45	39	3	80	46	29	72	73	12	77	79	21	30	69	26	27	93	71	17	54	76	27	34	49	5	60	64	84	73	30	9	91	45	42	66	71	warm	hot	cold	lukewarm	lukewarm	lukewarm	hot	warm	lukewarm	hot	hot	hot	hot	cold	warm	hot	lukewarm	warm	cold	hot	lukewarm	warm	cold	hot	lukewarm	hot	warm	lukewarm	cold	cold	hot	hot	lukewarm	warm	hot	cold	lukewarm	lukewarm	lukewarm	cold	warm	hot	cold	hot	lukewarm	hot	warm	hot	cold	lukewarm	lukewarm	warm	hot	warm	warm	warm	hot	hot	lukewarm	warm	cold	lukewarm	cold	hot	warm	lukewarm	warm	lukewarm	hot	cold	hot	cold	lukewarm	lukewarm	lukewarm	hot	lukewarm	cold	cold	hot	hot	warm	cold	lukewarm	hot	hot	cold	lukewarm	warm	cold	cold	cold	warm	lukewarm	lukewarm	hot	hot	lukewarm	hot	lukewarm
s18	55	87	6	65	63	30	88	54	36	45	31	77	91	0	36	58	92	49	65	94	74	9	85	80	89	77	76	17	20	83	64	80	80	18	32	96	12	64	81	65	13	53	14	58	70	44	19	60	22	61	90	44	34	13	61	26	27	28	69	77	49	16	78	32	17	96	96	45	72	47	35	77	52	89	75	32	13	27	0	74	81	49	48	6	62	87	9	51	99	19	86	36	27	9	98	52	24	98	94	62	cold	cold	warm	lukewarm	hot	cold	lukewarm	lukewarm	lukewarm	cold	lukewarm	cold	warm	warm	cold	cold	cold	lukewarm	warm	hot	warm	warm	hot	warm	hot	hot	cold	cold	cold	lukewarm	cold	warm	warm	lukewarm	hot	cold	cold	lukewarm	warm	hot	lukewarm	lukewarm	cold	warm	cold	hot	warm	hot	warm	lukewarm	hot	cold	warm	lukewarm	warm	lukewarm	cold	cold	cold	lukewarm	warm	hot	warm	warm	cold	lukewarm	cold	lukewarm	lukewarm	cold	lukewarm	lukewarm	lukewarm	warm	lukewarm	lukewarm	cold	hot	cold	hot	cold	cold	hot	hot	hot	hot	lukewarm	hot	cold	warm	hot	warm	warm	cold	lukewarm	warm	lukewarm	lukewarm	lukewarm	warm
s19	56	70	82	17	61	10	36	63	1	49	7	63	37	25	50	3	63	88	86	42	95	34	83	47	57	69	31	69	61	62	54	81	56	87	41	71	65	24	28	67	14	94	59	5	36	94	43	42	61	43	76	33	63	90	22	14	53	27	73	68	61	79	63	9	32	25	59	46	59	23	65	81	25	61	33	1	27	54	22	33	76	81	7	76	87	70	4	26	12	92	42	58	81	72	31	36	43	27	90	19	warm	hot	cold	hot	warm	warm	lukewarm	warm	lukewarm	hot	cold	hot	cold	warm	warm	cold	warm	cold	cold	hot	hot	warm	hot	cold	warm	hot	warm	lukewarm	cold	warm	cold	hot	hot	warm	warm	lukewarm	warm	warm	warm	hot	cold	hot	warm	lukewarm	hot	cold	cold	hot	hot	hot	warm	lukewarm	lukewarm	warm	warm	lukewarm	warm	lukewarm	hot	hot	lukewarm	warm	warm	warm	warm	cold	warm	cold	hot	lukewarm	warm	hot	lukewarm	cold	cold	lukewarm	hot	cold	warm	warm	hot	cold	lukewarm	lukewarm	warm	cold	lukewarm	cold	cold	lukewarm	lukewarm	lukewarm	lukewarm	hot	warm	warm	cold	warm	lukewarm	cold
s20	97	0	87	34	23	2	60	26	8	12	38	30	34	90	95	66	68	5	69	6	0	36	19	60	32	6	48	35	11	44	11	62	37	27	60	90	6	60	58	15	86	63	55	28	8	74	20	100	13	83	42	77	50	19	64	82	68	70	2	74	38	31	39	50	31	18	45	58	58	5	86	71	38	88	8	30	70	81	46	91	13	23	55	26	4	48	20	30	82	67	46	35	95	97	10	55	87	33	84	25	hot	warm	warm	hot	hot	warm	hot	cold	cold	warm	warm	hot	lukewarm	lukewarm	cold	lukewarm	warm	cold	hot	warm	cold	warm	hot	warm	warm	hot	cold	hot	lukewarm	warm	warm	hot	warm	cold	cold	hot	hot	cold	hot	hot	lukewarm	hot	lukewarm	lukewarm	lukewarm	hot	cold	warm	lukewarm	hot	cold	lukewarm	lukewarm	lukewarm	hot	warm	lukewarm	warm	lukewarm	lukewarm	lukewarm	lukewarm	hot	warm	warm	cold	cold	hot	cold	lukewarm	hot	cold	lukewarm	cold	warm	lukewarm	hot	lukewarm	warm	lukewarm	cold	lukewarm	warm	warm	cold	warm	hot	hot	hot	warm	lukewarm	lukewarm	hot	warm	cold	lukewarm	lukewarm	cold	cold	warm
s21	56	15	28	9	28	6	32	48	78	81	35	64	59	7	65	53	44	66	63	30	71	60	38	87	59	51	85	82	60	87	36	61	1	50	22	12	11	34	72	22	83	91	50	22	47	61	7	18	27	65	28	16	78	14	89	59	12	4	60	80	25	56	58	68	47	73	47	92	100	11	21	72	5	51	13	37	27	33	81	55	8	24	94	22	15	32	27	7	58	93	36	30	29	49	56	94	6	74	43	35	warm	warm	warm	hot	lukewarm	warm	lukewarm	lukewarm	cold	cold	cold	hot	cold	hot	hot	warm	warm	cold	lukewarm	lukewarm	cold	warm	cold	cold	warm	hot	lukewarm	lukewarm	lukewarm	warm	warm	warm	lukewarm	cold	cold	cold	cold	lukewarm	lukewarm	lukewarm	lukewarm	hot	cold	cold	cold	lukewarm	lukewarm	hot	hot	hot	warm	cold	lukewarm	cold	lukewarm	hot	lukewarm	warm	lukewarm	warm	warm	cold	warm	warm	lukewarm	hot	warm	cold	lukewarm	cold	cold	cold	cold	warm	warm	hot	hot	warm	lukewarm	cold	hot	lukewarm	hot	cold	warm	lukewarm	cold	hot	warm	lukewarm	lukewarm	lukewarm	hot	lukewarm	cold	lukewarm	hot	cold	hot	warm
